"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","playerid"
"Masahiro Tanaka","Yankees","38.7 %","69.7 %","51.4 %","53.2 %","84.7 %","70.8 %","41.1 %","62.4 %","15.0 %","15764"
"Alex Wood","Dodgers","36.1 %","63.2 %","47.8 %","59.6 %","84.7 %","73.9 %","43.0 %","65.5 %","12.5 %","13781"
"Chris Sale","Red Sox","35.9 %","65.4 %","50.0 %","53.8 %","78.2 %","69.1 %","47.9 %","65.9 %","15.5 %","10603"
"Zack Greinke","Diamondbacks","35.6 %","62.0 %","46.3 %","55.7 %","85.0 %","71.6 %","40.5 %","64.4 %","13.2 %","1943"
"Zack Godley","Diamondbacks","35.6 %","62.4 %","46.3 %","47.5 %","88.6 %","69.7 %","40.0 %","62.6 %","14.0 %","14862"
"Corey Kluber","Indians","35.1 %","61.9 %","48.1 %","45.0 %","79.1 %","66.3 %","48.5 %","65.0 %","16.2 %","2429"
"Michael Pineda","Yankees","35.0 %","68.7 %","49.9 %","56.8 %","87.7 %","75.7 %","44.5 %","65.1 %","12.1 %","5372"
"Johnny Cueto","Giants","34.8 %","69.7 %","48.8 %","68.1 %","85.9 %","78.3 %","40.0 %","64.8 %","10.6 %","6893"
"Max Scherzer","Nationals","34.7 %","69.1 %","51.4 %","50.4 %","78.7 %","68.9 %","48.7 %","66.1 %","16.0 %","3137"
"Jordan Montgomery","Yankees","34.5 %","65.6 %","47.6 %","55.6 %","84.9 %","72.6 %","42.0 %","59.4 %","13.0 %","16511"
"Brandon McCarthy","Dodgers","34.0 %","60.7 %","46.0 %","73.9 %","87.4 %","81.9 %","44.7 %","64.8 %","8.3 %","4662"
"J.A. Happ","Blue Jays","33.7 %","69.2 %","48.8 %","73.6 %","85.7 %","80.9 %","42.6 %","61.1 %","9.3 %","7410"
"Jeff Samardzija","Giants","33.6 %","66.7 %","49.3 %","68.8 %","83.9 %","78.5 %","47.6 %","64.3 %","10.6 %","3254"
"Clayton Kershaw","Dodgers","33.5 %","69.7 %","51.0 %","54.0 %","82.0 %","72.5 %","48.4 %","69.1 %","14.0 %","2036"
"Ivan Nova","Pirates","33.3 %","68.7 %","50.5 %","69.0 %","91.5 %","83.8 %","48.5 %","64.4 %","8.2 %","1994"
"Joe Musgrove","Astros","33.2 %","67.6 %","50.0 %","60.7 %","86.1 %","77.5 %","48.7 %","63.7 %","11.3 %","12970"
"Matt Garza","Brewers","33.2 %","69.7 %","47.7 %","72.3 %","90.4 %","82.8 %","39.8 %","60.7 %","8.2 %","3340"
"Stephen Strasburg","Nationals","32.9 %","66.1 %","49.4 %","54.9 %","84.1 %","74.3 %","49.7 %","62.0 %","12.7 %","10131"
"Sean Manaea","Athletics","32.6 %","67.6 %","48.0 %","55.2 %","85.6 %","74.1 %","44.1 %","62.0 %","12.5 %","15873"
"Jon Lester","Cubs","32.5 %","65.1 %","45.7 %","64.6 %","83.5 %","75.5 %","40.3 %","59.2 %","11.2 %","4930"
"Hyun-Jin Ryu","Dodgers","32.4 %","62.7 %","44.1 %","61.1 %","82.1 %","72.7 %","38.7 %","60.5 %","12.1 %","14444"
"Sonny Gray","- - -","32.2 %","66.9 %","46.9 %","57.0 %","85.7 %","74.3 %","42.2 %","62.5 %","12.0 %","12768"
"Jimmy Nelson","Brewers","32.2 %","67.0 %","49.2 %","59.1 %","85.2 %","76.5 %","48.9 %","63.9 %","11.6 %","10547"
"Jacob deGrom","Mets","32.1 %","67.9 %","49.1 %","58.3 %","78.9 %","71.8 %","47.5 %","63.7 %","13.9 %","10954"
"Michael Fulmer","Tigers","32.1 %","71.8 %","49.9 %","65.8 %","88.1 %","80.2 %","44.9 %","61.1 %","9.9 %","13218"
"Lance McCullers","Astros","32.0 %","63.0 %","45.4 %","48.2 %","89.6 %","73.1 %","43.4 %","56.6 %","12.2 %","14120"
"Chris Archer","Rays","31.9 %","66.4 %","47.2 %","55.8 %","81.5 %","71.8 %","44.3 %","62.5 %","13.3 %","6345"
"Dan Straily","Marlins","31.9 %","70.2 %","49.9 %","60.1 %","86.8 %","77.7 %","47.1 %","63.1 %","11.1 %","9460"
"John Lackey","Cubs","31.8 %","66.2 %","47.5 %","64.6 %","86.8 %","78.8 %","45.7 %","66.3 %","10.1 %","1507"
"Clayton Richard","Padres","31.5 %","68.9 %","48.1 %","70.3 %","89.9 %","82.8 %","44.5 %","62.1 %","8.3 %","3551"
"Ervin Santana","Twins","31.3 %","70.0 %","48.2 %","63.2 %","88.7 %","79.3 %","43.6 %","64.9 %","10.0 %","3200"
"Justin Verlander","Tigers","31.3 %","70.7 %","48.3 %","69.0 %","86.1 %","79.8 %","43.3 %","60.0 %","9.8 %","8700"
"Patrick Corbin","Diamondbacks","31.3 %","67.5 %","47.4 %","57.3 %","87.3 %","76.3 %","44.7 %","64.7 %","11.2 %","9323"
"Yu Darvish","- - -","31.0 %","65.3 %","47.6 %","57.6 %","83.1 %","74.5 %","48.3 %","60.4 %","12.1 %","13074"
"Danny Duffy","Royals","31.0 %","70.4 %","50.5 %","57.1 %","86.7 %","77.6 %","49.6 %","64.8 %","11.3 %","3542"
"Joe Biagini","Blue Jays","31.0 %","64.1 %","45.8 %","65.8 %","90.0 %","81.0 %","44.7 %","66.6 %","8.7 %","13194"
"Dallas Keuchel","Astros","30.9 %","65.8 %","43.4 %","62.8 %","88.7 %","76.8 %","35.7 %","59.7 %","10.1 %","9434"
"James Paxton","Mariners","30.9 %","66.8 %","48.4 %","54.6 %","82.0 %","73.0 %","48.9 %","65.7 %","13.1 %","11828"
"Jose Berrios","Twins","30.8 %","64.2 %","45.2 %","68.5 %","85.5 %","78.9 %","43.0 %","60.5 %","9.5 %","14168"
"Bartolo Colon","- - -","30.8 %","65.0 %","46.2 %","81.2 %","93.4 %","88.9 %","44.9 %","64.6 %","5.1 %","375"
"CC Sabathia","Yankees","30.7 %","66.5 %","45.4 %","70.2 %","87.6 %","80.6 %","41.0 %","60.9 %","8.8 %","404"
"Jeremy Hellickson","- - -","30.7 %","69.9 %","48.6 %","75.6 %","86.8 %","83.0 %","45.7 %","59.1 %","8.3 %","4371"
"Miguel Gonzalez","White Sox","30.6 %","66.3 %","48.0 %","77.3 %","90.0 %","85.8 %","48.8 %","66.8 %","6.8 %","7024"
"Trevor Williams","Pirates","30.6 %","69.3 %","48.3 %","70.0 %","90.5 %","83.4 %","45.8 %","61.3 %","8.0 %","16977"
"Jordan Zimmermann","Tigers","30.5 %","67.9 %","48.9 %","66.6 %","90.6 %","83.0 %","49.2 %","66.9 %","8.3 %","4505"
"Josh Tomlin","Indians","30.5 %","67.3 %","47.7 %","69.3 %","90.8 %","83.5 %","46.7 %","68.6 %","7.9 %","9388"
"Martin Perez","Rangers","30.5 %","66.4 %","44.8 %","72.7 %","90.2 %","83.1 %","40.0 %","58.4 %","7.6 %","6902"
"Marco Estrada","Blue Jays","30.4 %","73.0 %","49.9 %","68.9 %","80.3 %","76.5 %","45.6 %","59.0 %","11.7 %","1118"
